threshold,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,youden_j,meets_ps_target
0.316,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.317,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.318,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.319,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.32,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.321,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.322,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.323,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.324,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.325,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.326,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.327,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.328,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.329,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.33,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.331,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.332,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.333,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.334,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.335,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.336,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.337,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.338,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.339,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.34,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.341,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.342,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.343,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.34400000000000003,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.34500000000000003,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.34600000000000003,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.34700000000000003,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.34800000000000003,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.34900000000000003,147,201,16,2,0.9865771812080537,0.9262672811059908,0.901840490797546,0.9901477832512315,0.9128444623140446,True
0.35000000000000003,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35100000000000003,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35200000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35300000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35400000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35500000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35600000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35700000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35800000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.35900000000000004,147,202,15,2,0.9865771812080537,0.9308755760368663,0.9074074074074074,0.9901960784313726,0.91745275724492,True
0.36000000000000004,146,202,15,3,0.9798657718120806,0.9308755760368663,0.906832298136646,0.9853658536585366,0.9107413478489468,True
0.36100000000000004,146,202,15,3,0.9798657718120806,0.9308755760368663,0.906832298136646,0.9853658536585366,0.9107413478489468,True
0.362,146,202,15,3,0.9798657718120806,0.9308755760368663,0.906832298136646,0.9853658536585366,0.9107413478489468,True
0.363,146,202,15,3,0.9798657718120806,0.9308755760368663,0.906832298136646,0.9853658536585366,0.9107413478489468,True
0.364,146,202,15,3,0.9798657718120806,0.9308755760368663,0.906832298136646,0.9853658536585366,0.9107413478489468,True
0.365,146,202,15,3,0.9798657718120806,0.9308755760368663,0.906832298136646,0.9853658536585366,0.9107413478489468,True
0.366,146,202,15,3,0.9798657718120806,0.9308755760368663,0.906832298136646,0.9853658536585366,0.9107413478489468,True
0.367,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.368,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.369,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.37,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.371,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.372,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.373,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.374,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.375,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.376,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.377,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.378,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.379,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.38,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.381,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.382,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.383,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.384,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.385,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.386,146,203,14,3,0.9798657718120806,0.9354838709677419,0.9125,0.9854368932038835,0.9153496427798224,True
0.387,145,203,14,4,0.9731543624161074,0.9354838709677419,0.9119496855345912,0.9806763285024155,0.9086382333838494,True
